,AGUASCALIENTES,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,COAHUILA,COLIMA,CHIAPAS,CHIHUAHUA,DISTRITO FEDERAL,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,ESTADO DE MÉXICO,MICHOACÁN,MORELOS,NAYARIT,NUEVO LEÓN,OAXACA,PUEBLA,QUERÉTARO,QUINTANA ROO,SAN LUIS POTOSÍ,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ,YUCATÁN,ZACATECAS,NACIONAL
89,36.1,0.0,0.0,272.0,43.1,31.0,289.7,20.5,70.6,11.3,70.1,68.6,64.8,38.0,67.3,35.5,131.4,17.0,42.3,139.0,134.6,70.8,278.2,48.6,0.0,5.7,282.2,67.9,94.8,167.7,165.1,28.2,69.1
90,87.6,5.3,6.2,78.9,90.5,192.3,179.6,98.0,150.0,87.2,198.5,136.3,132.6,193.0,131.7,133.5,213.4,233.4,62.9,145.3,131.9,180.8,112.6,60.2,151.0,67.1,124.2,56.8,131.7,156.3,122.6,76.2,130.0
91,70.7,0.0,8.5,172.8,45.8,143.0,220.6,104.0,171.8,139.2,163.6,212.2,124.6,249.8,175.6,178.1,253.5,238.6,94.3,137.2,148.9,172.4,167.5,63.6,170.6,128.2,217.1,146.8,173.7,289.8,172.8,75.9,132.1
92,46.8,9.7,31.1,267.6,53.6,347.4,235.9,59.8,189.8,43.9,124.5,308.9,95.3,192.1,244.0,250.3,298.4,213.1,74.6,140.1,196.3,117.1,196.8,71.6,130.9,58.3,432.5,73.5,164.9,370.3,235.4,63.3,124.7
93,152.7,0.0,0.0,153.0,8.3,225.4,71.3,14.0,149.3,19.0,89.1,194.9,133.7,150.3,108.8,164.2,145.7,52.2,42.1,38.1,160.3,103.0,172.8,121.2,10.0,8.5,165.6,199.3,106.8,246.0,161.8,54.2,74.2
94,26.1,0.0,0.0,163.8,12.1,3.7,65.7,15.3,60.9,18.6,27.6,29.4,57.9,14.1,42.5,22.3,48.8,4.7,99.0,35.7,50.5,26.6,183.3,33.1,9.8,3.1,134.3,55.7,44.6,93.3,169.7,40.0,39.1
95,9.9,30.5,16.5,16.6,12.1,84.2,8.8,19.3,4.9,22.3,15.6,25.0,21.3,58.1,5.2,27.9,7.2,107.4,12.0,6.0,6.4,23.8,52.5,17.2,54.4,55.0,29.9,7.1,3.2,31.6,12.7,23.9,26.2
96,15.4,218.4,61.3,84.6,10.4,31.9,7.4,21.8,11.9,6.1,9.7,4.4,23.4,16.5,8.2,9.5,0.0,20.8,24.2,11.2,8.7,13.7,222.6,18.2,17.7,85.3,62.3,19.1,4.5,43.7,211.8,13.3,43.2
97,0.0,20.0,12.9,16.1,10.7,0.0,4.3,12.2,16.9,2.8,4.4,8.2,24.2,0.0,9.8,3.0,3.8,0.0,20.0,6.6,15.8,12.8,28.9,26.2,13.4,35.2,28.6,26.8,7.7,39.2,6.8,3.2,15.3
98,0.0,5.1,0.0,30.8,15.2,0.0,24.3,7.5,5.3,0.0,0.5,4.8,25.7,0.0,5.1,1.1,2.7,0.0,17.0,34.1,45.1,12.6,42.8,7.7,0.0,5.7,53.8,27.3,11.1,48.8,41.6,7.9,14.2
99,4.6,0.0,0.0,51.6,8.7,0.0,49.1,3.5,17.4,2.5,14.7,5.4,24.3,2.9,17.9,11.0,17.6,0.0,17.3,9.0,28.4,21.1,70.3,28.9,0.0,11.3,71.4,25.2,37.5,38.9,38.9,3.9,15.8
100,7.8,0.0,0.0,78.0,40.3,0.0,90.6,14.7,20.0,8.2,12.5,3.5,40.5,3.7,14.8,4.3,7.5,3.7,51.7,15.2,31.8,30.2,203.9,62.0,5.0,4.8,100.8,110.0,21.8,78.8,113.7,14.8,34.2
101,77.0,0.0,0.0,182.5,75.2,296.7,235.9,9.0,150.7,46.1,224.5,234.9,155.6,232.7,140.4,269.2,272.9,214.7,207.2,253.9,190.1,160.7,292.5,182.3,22.0,11.1,264.5,264.2,124.9,386.5,289.2,62.4,133.4
102,106.6,0.1,8.8,132.9,32.4,339.8,193.3,133.8,190.8,122.3,190.2,241.8,100.1,322.7,154.4,223.8,200.7,254.9,9.7,227.5,176.6,195.3,50.9,64.0,124.8,55.4,126.8,33.2,126.1,140.5,67.9,101.5,117.6
103,110.1,5.3,80.1,219.2,18.0,330.4,599.8,132.2,130.1,80.7,152.0,222.1,88.8,158.8,98.0,160.8,162.8,397.6,45.0,481.1,351.1,76.0,141.2,163.4,189.8,143.0,388.8,60.2,73.5,248.0,82.5,105.7,164.1
104,100.8,0.6,89.8,263.6,75.7,170.1,408.5,127.6,147.9,188.2,159.5,274.6,223.6,129.3,140.1,160.9,185.2,366.8,217.6,397.4,489.1,82.3,279.3,458.1,271.3,132.9,400.4,282.7,207.9,390.6,262.1,102.8,204.0
105,36.2,1.7,4.4,141.3,21.1,81.4,362.3,42.1,31.5,17.4,18.7,62.8,41.1,30.7,18.7,61.5,51.6,62.6,40.2,176.0,118.5,25.7,170.2,89.0,49.9,41.3,395.5,44.4,34.7,127.5,77.7,20.5,70.4
106,3.3,15.1,80.1,39.4,4.2,6.8,87.0,17.1,16.9,23.1,14.3,17.7,40.9,3.3,11.0,4.2,23.6,3.3,20.6,65.2,59.0,30.9,40.2,79.4,53.1,27.0,114.4,20.9,9.6,88.5,27.9,7.2,33.0
107,1.8,5.4,2.9,29.7,0.4,0.0,82.4,15.4,0.1,0.3,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.1,4.1,20.1,8.3,0.0,60.1,6.0,4.5,11.7,123.3,29.8,0.0,28.4,14.0,0.0,14.4
108,8.3,10.3,0.0,85.4,12.8,0.0,46.1,1.2,17.7,3.5,3.2,0.5,11.3,0.5,3.2,0.4,0.8,1.2,60.8,21.3,29.0,2.8,189.4,20.6,0.0,1.0,248.1,84.2,24.4,55.3,58.8,4.4,25.5
109,0.0,43.2,1.1,53.2,3.1,0.0,51.1,1.0,2.2,0.1,0.0,0.0,14.7,0.0,0.6,0.0,0.0,0.0,9.0,29.0,26.7,0.0,34.0,15.6,0.0,4.0,176.7,5.1,0.4,28.1,29.2,0.0,13.7
110,0.1,39.7,0.4,29.5,10.2,0.0,37.7,5.5,4.2,11.0,0.7,0.0,6.2,0.1,4.6,0.0,0.1,4.9,27.1,6.0,6.7,4.0,56.5,9.4,4.2,1.9,107.0,19.6,2.0,16.9,34.1,2.4,13.7
111,10.5,16.0,0.0,32.8,2.6,0.0,76.1,4.0,45.1,5.2,18.1,5.3,57.0,1.7,41.0,0.8,3.9,0.0,16.7,20.0,49.6,22.8,10.0,42.4,1.4,1.1,193.7,22.8,62.2,51.3,90.9,11.2,18.9
112,4.3,0.1,0.0,51.7,8.5,0.4,105.8,3.7,50.2,1.8,22.4,28.3,41.2,2.9,18.8,2.3,15.6,0.4,40.4,68.0,65.1,37.2,38.1,45.2,0.0,0.1,62.9,20.0,77.4,62.0,95.2,6.4,23.0
113,108.6,1.8,0.0,148.4,86.8,111.9,11.7,30.4,182.4,44.0,150.1,94.1,105.9,89.3,83.9,45.0,127.8,126.7,48.0,133.0,107.1,100.5,102.7,61.7,39.7,16.9,78.4,112.6,176.4,104.4,169.8,135.8,70.7
114,72.8,0.0,4.1,136.7,50.7,100.6,278.1,114.1,221.4,79.0,83.0,134.7,64.3,117.6,92.5,77.0,64.7,231.3,73.8,178.2,124.4,62.2,57.4,47.0,184.4,77.8,152.2,32.6,149.6,142.0,89.3,110.6,102.0
115,99.1,3.8,67.7,256.6,23.4,184.6,293.6,106.5,224.9,92.6,122.5,163.0,179.8,128.1,167.9,119.9,235.5,439.0,89.3,305.5,365.8,97.2,120.9,189.0,230.8,113.2,314.0,156.5,234.1,246.0,210.2,136.1,153.2
116,91.3,0.6,30.8,286.2,56.2,94.0,255.8,72.2,164.4,61.0,86.6,144.4,103.6,136.2,96.7,94.6,103.6,229.4,98.7,356.8,243.3,30.2,222.4,229.9,72.8,81.0,353.7,125.0,140.2,226.9,202.3,80.7,129.2
117,51.3,2.6,13.2,112.3,31.9,195.6,288.0,32.0,98.6,52.6,41.1,122.5,108.9,63.7,38.3,40.7,137.0,175.3,50.0,208.0,160.6,42.0,80.4,156.4,60.2,24.4,226.0,97.3,95.7,119.5,99.2,75.6,79.4
118,0.5,16.7,37.0,46.1,12.6,18.5,111.9,43.3,7.1,7.5,0.9,5.4,10.8,9.2,2.6,3.7,8.9,11.5,21.5,89.7,85.0,5.0,207.1,23.6,87.7,75.4,123.6,14.0,13.4,101.5,40.8,5.9,43.8
119,1.2,20.5,89.1,78.9,21.9,0.0,67.4,63.6,3.9,14.7,2.0,0.0,14.5,1.2,4.4,2.9,0.0,11.7,24.7,15.2,39.0,0.0,101.0,10.7,63.7,116.2,134.6,30.7,11.9,77.6,73.9,4.0,45.1
120,1.8,99.9,12.7,16.7,2.0,0.0,94.9,5.3,31.0,1.5,4.6,7.5,30.8,0.5,15.3,1.6,36.1,0.0,12.0,40.5,42.9,4.8,60.0,7.5,2.2,14.1,251.7,6.7,33.7,64.6,27.1,2.5,22.6
121,2.2,57.9,7.0,11.6,11.2,0.0,70.9,29.8,13.1,3.2,7.9,8.7,38.0,3.7,9.4,0.7,0.8,1.4,17.2,11.1,48.9,5.6,31.9,19.3,7.8,43.2,142.7,11.5,19.7,31.0,0.9,1.1,22.6
122,0.0,114.3,0.0,20.2,16.2,0.0,54.6,2.6,11.1,0.0,0.4,0.0,19.0,0.0,7.4,0.1,1.9,0.0,16.8,25.5,33.2,5.9,21.3,17.9,0.0,4.1,110.6,20.6,23.8,29.4,39.2,0.0,16.2
123,0.0,22.7,0.0,69.2,4.8,0.1,116.3,0.2,13.3,0.0,7.4,4.3,21.3,0.1,6.3,1.8,6.9,0.0,8.0,37.9,32.2,8.2,110.2,15.3,0.0,0.7,179.9,20.1,48.4,30.0,11.0,0.0,18.3
124,6.7,17.5,0.7,13.2,72.3,0.0,91.4,1.7,102.3,1.7,93.5,53.9,59.9,22.2,70.9,16.1,223.2,0.0,90.7,131.0,164.6,67.3,17.6,78.5,0.0,0.0,32.3,50.6,158.5,59.4,20.7,13.9,38.6
